n,input,encoder_staircase,dm_bit,decoder_staircase,decoder_filtered,error
175,6579,6528,0,6528,7259,51
176,6457,6656,1,6400,7232,-199
177,6457,6528,0,6528,7210,-71
178,6332,6400,0,6400,7184,-68
179,6332,6272,0,6272,7155,60
180,6202,6400,1,6144,7123,-198
181,6202,6272,0,6272,7096,-70
182,6069,6144,0,6144,7066,-75
183,6069,6016,0,6016,7033,53
184,5932,6144,1,5888,6997,-212
185,5932,6016,0,6016,6966,-84
186,5792,5888,0,5888,6932,-96
187,5792,5760,0,5760,6895,32
188,5648,5888,1,5632,6855,-240
189,5648,5760,0,5760,6820,-112
190,5501,5632,0,5632,6782,-131
191,5501,5504,0,5504,6742,-3
192,5350,5376,0,5376,6699,-26
193,5350,5248,0,5248,6653,102
194,5196,5376,1,5120,6605,-180
195,5196,5248,0,5248,6562,-52
196,5039,5120,0,5120,6516,-81
197,5039,4992,0,4992,6468,47
198,4879,5120,1,4864,6417,-241
199,4879,4992,0,4992,6372,-113
200,4716,4864,0,4864,6324,-148
201,4716,4736,0,4736,6274,-20
202,4551,4608,0,4608,6221,-57
203,4551,4480,0,4480,6166,71
204,4382,4608,1,4352,6109,-226
205,4382,4480,0,4480,6058,-98
206,4211,4352,0,4352,6004,-141
207,4037,4224,0,4224,5948,-187
208,4037,4096,0,4096,5890,-59
209,3861,3968,0,3968,5829,-107
210,3861,3840,0,3840,5766,21
211,3683,3968,1,3712,5701,-285
212,3683,3840,0,3840,5642,-157
213,3502,3712,0,3712,5581,-210
214,3502,3584,0,3584,5518,-82
215,3319,3456,0,3456,5453,-137
216,3319,3328,0,3328,5386,-9
217,3135,3200,0,3200,5317,-65
218,3135,3072,0,3072,5246,63
219,2948,3200,1,2944,5174,-252
220,2948,3072,0,3072,5108,-124
221,2759,2944,0,2944,5040,-185
222,2759,2816,0,2816,4970,-57
223,2569,2688,0,2688,4898,-119
224,2569,2560,0,2560,4824,9
225,2378,2688,1,2432,4749,-310
226,2378,2560,0,2560,4680,-182
227,2185,2432,0,2432,4609,-247
228,2185,2304,0,2304,4536,-119
229,1990,2176,0,2176,4462,-186
230,1990,2048,0,2048,4386,-58
231,1795,1920,0,1920,4308,-125
232,1795,1792,0,1792,4229,3
233,1598,1920,1,1664,4148,-322
234,1598,1792,0,1792,4074,-194
235,1400,1664,0,1664,3998,-264
236,1400,1536,0,1536,3921,-136
237,1202,1408,0,1408,3842,-206
238,1202,1280,0,1280,3761,-78
239,1003,1152,0,1152,3679,-149
240,1003,1024,0,1024,3596,-21
241,803,896,0,896,3511,-93
242,803,768,0,768,3425,35
243,603,896,1,640,3337,-293
244,603,768,0,768,3256,-165
245,402,640,0,640,3174,-238
246,402,512,0,512,3090,-110
247,201,384,0,384,3005,-183
248,0,256,0,256,2919,-256
249,0,128,0,128,2831,-128
250,-201,0,0,0,2742,-201
251,-201,-128,0,-128,2652,-73
252,-402,-256,0,-256,2561,-146
253,-402,-384,0,-384,2468,-18
254,-603,-512,0,-512,2374,-91
255,-603,-640,0,-640,2279,37
256,-803,-512,1,-768,2183,-291
257,-803,-640,0,-640,2094,-163
258,-1003,-768,0,-768,2004,-235
259,-1003,-896,0,-896,1913,-107
260,-1202,-1024,0,-1024,1821,-178
261,-1202,-1152,0,-1152,1728,-50
262,-1400,-1280,0,-1280,1634,-120
263,-1400,-1408,0,-1408,1538,8
264,-1598,-1280,1,-1536,1441,-318
265,-1598,-1408,0,-1408,1351,-190
266,-1795,-1536,0,-1536,1260,-259
267,-1795,-1664,0,-1664,1168,-131
268,-1990,-1792,0,-1792,1075,-198
269,-1990,-1920,0,-1920,981,-70
270,-2185,-2048,0,-2048,886,-137
271,-2185,-2176,0,-2176,790,-9
272,-2378,-2304,0,-2304,693,-74
273,-2378,-2432,0,-2432,595,54
274,-2569,-2304,1,-2560,496,-265
275,-2569,-2432,0,-2432,404,-137
276,-2759,-2560,0,-2560,311,-199
277,-2759,-2688,0,-2688,217,-71
278,-2948,-2816,0,-2816,122,-132
279,-2948,-2944,0,-2944,26,-4
280,-3135,-3072,0,-3072,-71,-63
281,-3135,-3200,0,-3200,-169,65
282,-3319,-3072,1,-3328,-268,-247
283,-3319,-3200,0,-3200,-360,-119
284,-3502,-3328,0,-3328,-453,-174
285,-3502,-3456,0,-3456,-547,-46
286,-3683,-3584,0,-3584,-642,-99
287,-3683,-3712,0,-3712,-738,29
288,-3861,-3584,1,-3840,-835,-277
289,-3861,-3712,0,-3712,-925,-149
290,-4037,-3840,0,-3840,-1017,-197
291,-4211,-3968,0,-3968,-1110,-243
292,-4211,-4096,0,-4096,-1204,-115
293,-4382,-4224,0,-4224,-1299,-158
294,-4382,-4352,0,-4352,-1395,-30
295,-4551,-4480,0,-4480,-1492,-71
296,-4551,-4608,0,-4608,-1590,57
297,-4716,-4480,1,-4736,-1689,-236
298,-4716,-4608,0,-4608,-1781,-108
299,-4879,-4736,0,-4736,-1874,-143
300,-4879,-4864,0,-4864,-1968,-15
301,-5039,-4992,0,-4992,-2063,-47
302,-5039,-5120,0,-5120,-2159,81
303,-5196,-4992,1,-5248,-2256,-204
304,-5196,-5120,0,-5120,-2346,-76
305,-5350,-5248,0,-5248,-2437,-102
306,-5350,-5376,0,-5376,-2529,26
307,-5501,-5248,1,-5504,-2622,-253
308,-5501,-5376,0,-5376,-2709,-125
309,-5648,-5504,0,-5504,-2797,-144
310,-5648,-5632,0,-5632,-2886,-16
311,-5792,-5760,0,-5760,-2976,-32
312,-5792,-5888,0,-5888,-3067,96
313,-5932,-5760,1,-6016,-3160,-172
314,-5932,-5888,0,-5888,-3246,-44
315,-6069,-6016,0,-6016,-3333,-53
316,-6069,-6144,0,-6144,-3421,75
317,-6202,-6016,1,-6272,-3511,-186
318,-6202,-6144,0,-6144,-3594,-58
319,-6332,-6272,0,-6272,-3678,-60
320,-6332,-6400,0,-6400,-3764,68
321,-6457,-6272,1,-6528,-3851,-185
322,-6457,-6400,0,-6400,-3931,-57
323,-6579,-6528,0,-6528,-4013,-51
324,-6579,-6656,0,-6656,-4096,77
325,-6697,-6528,1,-6784,-4180,-169
326,-6697,-6656,0,-6656,-4258,-41
327,-6811,-6784,0,-6784,-4337,-27
328,-6811,-6912,0,-6912,-4418,101
329,-6920,-6784,1,-7040,-4500,-136
330,-6920,-6912,0,-6912,-4576,-8
331,-7026,-7040,0,-7040,-4653,14
332,-7127,-6912,1,-7168,-4732,-215
333,-7127,-7040,0,-7040,-4805,-87
334,-7224,-7168,0,-7168,-4879,-56
335,-7224,-7296,0,-7296,-4955,72
336,-7316,-7168,1,-7424,-5033,-148
337,-7316,-7296,0,-7296,-5104,-20
338,-7405,-7424,0,-7424,-5177,19
339,-7405,-7296,1,-7552,-5252,-109
340,-7488,-7424,0,-7424,-5320,-64
341,-7488,-7552,0,-7552,-5390,64
342,-7567,-7424,1,-7680,-5462,-143
343,-7567,-7552,0,-7552,-5528,-15
344,-7642,-7680,0,-7680,-5596,38
345,-7642,-7552,1,-7808,-5666,-90
346,-7712,-7680,0,-7680,-5729,-32
347,-7712,-7808,0,-7808,-5794,96
348,-7778,-7680,1,-7936,-5861,-98
349,-7778,-7808,0,-7808,-5922,30
350,-7838,-7680,1,-7936,-5985,-158
351,-7838,-7808,0,-7808,-6042,-30
352,-7894,-7936,0,-7936,-6102,42
353,-7894,-7808,1,-8064,-6164,-86
354,-7946,-7936,0,-7936,-6220,-10
355,-7946,-8064,0,-8064,-6278,118
