n,input,encoder_staircase,dm_bit,decoder_staircase,decoder_filtered,error
705,4382,4480,0,4480,6052,-98
706,4211,4352,0,4352,5998,-141
707,4037,4224,0,4224,5942,-187
708,4037,4096,0,4096,5884,-59
709,3861,3968,0,3968,5824,-107
710,3861,3840,0,3840,5762,21
711,3683,3968,1,3712,5697,-285
712,3683,3840,0,3840,5638,-157
713,3502,3712,0,3712,5577,-210
714,3502,3584,0,3584,5514,-82
715,3319,3456,0,3456,5449,-137
716,3319,3328,0,3328,5382,-9
717,3135,3200,0,3200,5313,-65
718,3135,3072,0,3072,5242,63
719,2948,3200,1,2944,5170,-252
720,2948,3072,0,3072,5104,-124
721,2759,2944,0,2944,5036,-185
722,2759,2816,0,2816,4966,-57
723,2569,2688,0,2688,4894,-119
724,2569,2560,0,2560,4821,9
725,2378,2688,1,2432,4746,-310
726,2378,2560,0,2560,4677,-182
727,2185,2432,0,2432,4606,-247
728,2185,2304,0,2304,4534,-119
729,1990,2176,0,2176,4460,-186
730,1990,2048,0,2048,4384,-58
731,1795,1920,0,1920,4307,-125
732,1795,1792,0,1792,4228,3
733,1598,1920,1,1664,4147,-322
734,1598,1792,0,1792,4073,-194
735,1400,1664,0,1664,3997,-264
736,1400,1536,0,1536,3920,-136
737,1202,1408,0,1408,3841,-206
738,1202,1280,0,1280,3760,-78
739,1003,1152,0,1152,3678,-149
740,1003,1024,0,1024,3595,-21
741,803,896,0,896,3510,-93
742,803,768,0,768,3424,35
743,603,896,1,640,3337,-293
744,603,768,0,768,3256,-165
745,402,640,0,640,3174,-238
746,402,512,0,512,3090,-110
747,201,384,0,384,3005,-183
748,0,256,0,256,2919,-256
749,0,128,0,128,2831,-128
750,-201,0,0,0,2742,-201
751,-201,-128,0,-128,2652,-73
752,-402,-256,0,-256,2561,-146
753,-402,-384,0,-384,2468,-18
754,-603,-512,0,-512,2374,-91
755,-603,-640,0,-640,2279,37
756,-803,-512,1,-768,2183,-291
757,-803,-640,0,-640,2094,-163
758,-1003,-768,0,-768,2004,-235
759,-1003,-896,0,-896,1913,-107
760,-1202,-1024,0,-1024,1821,-178
761,-1202,-1152,0,-1152,1728,-50
762,-1400,-1280,0,-1280,1634,-120
763,-1400,-1408,0,-1408,1538,8
764,-1598,-1280,1,-1536,1441,-318
765,-1598,-1408,0,-1408,1351,-190
766,-1795,-1536,0,-1536,1260,-259
767,-1795,-1664,0,-1664,1168,-131
768,-1990,-1792,0,-1792,1075,-198
769,-1990,-1920,0,-1920,981,-70
770,-2185,-2048,0,-2048,886,-137
771,-2185,-2176,0,-2176,790,-9
772,-2378,-2304,0,-2304,693,-74
773,-2378,-2432,0,-2432,595,54
774,-2569,-2304,1,-2560,496,-265
775,-2569,-2432,0,-2432,404,-137
776,-2759,-2560,0,-2560,311,-199
777,-2759,-2688,0,-2688,217,-71
778,-2948,-2816,0,-2816,122,-132
779,-2948,-2944,0,-2944,26,-4
780,-3135,-3072,0,-3072,-71,-63
781,-3135,-3200,0,-3200,-169,65
782,-3319,-3072,1,-3328,-268,-247
783,-3319,-3200,0,-3200,-360,-119
784,-3502,-3328,0,-3328,-453,-174
785,-3502,-3456,0,-3456,-547,-46
786,-3683,-3584,0,-3584,-642,-99
787,-3683,-3712,0,-3712,-738,29
788,-3861,-3584,1,-3840,-835,-277
789,-3861,-3712,0,-3712,-925,-149
790,-4037,-3840,0,-3840,-1017,-197
791,-4211,-3968,0,-3968,-1110,-243
792,-4211,-4096,0,-4096,-1204,-115
793,-4382,-4224,0,-4224,-1299,-158
794,-4382,-4352,0,-4352,-1395,-30
795,-4551,-4480,0,-4480,-1492,-71
796,-4551,-4608,0,-4608,-1590,57
797,-4716,-4480,1,-4736,-1689,-236
798,-4716,-4608,0,-4608,-1781,-108
799,-4879,-4736,0,-4736,-1874,-143
800,-4879,-4864,0,-4864,-1968,-15
801,-5039,-4992,0,-4992,-2063,-47
802,-5039,-5120,0,-5120,-2159,81
803,-5196,-4992,1,-5248,-2256,-204
804,-5196,-5120,0,-5120,-2346,-76
805,-5350,-5248,0,-5248,-2437,-102
806,-5350,-5376,0,-5376,-2529,26
807,-5501,-5248,1,-5504,-2622,-253
808,-5501,-5376,0,-5376,-2709,-125
809,-5648,-5504,0,-5504,-2797,-144
810,-5648,-5632,0,-5632,-2886,-16
811,-5792,-5760,0,-5760,-2976,-32
812,-5792,-5888,0,-5888,-3067,96
813,-5932,-5760,1,-6016,-3160,-172
814,-5932,-5888,0,-5888,-3246,-44
815,-6069,-6016,0,-6016,-3333,-53
816,-6069,-6144,0,-6144,-3421,75
817,-6202,-6016,1,-6272,-3511,-186
818,-6202,-6144,0,-6144,-3594,-58
819,-6332,-6272,0,-6272,-3678,-60
820,-6332,-6400,0,-6400,-3764,68
821,-6457,-6272,1,-6528,-3851,-185
822,-6457,-6400,0,-6400,-3931,-57
823,-6579,-6528,0,-6528,-4013,-51
824,-6579,-6656,0,-6656,-4096,77
825,-6697,-6528,1,-6784,-4180,-169
826,-6697,-6656,0,-6656,-4258,-41
827,-6811,-6784,0,-6784,-4337,-27
828,-6811,-6912,0,-6912,-4418,101
829,-6920,-6784,1,-7040,-4500,-136
830,-6920,-6912,0,-6912,-4576,-8
831,-7026,-7040,0,-7040,-4653,14
832,-7127,-6912,1,-7168,-4732,-215
833,-7127,-7040,0,-7040,-4805,-87
834,-7224,-7168,0,-7168,-4879,-56
835,-7224,-7296,0,-7296,-4955,72
836,-7316,-7168,1,-7424,-5033,-148
837,-7316,-7296,0,-7296,-5104,-20
838,-7405,-7424,0,-7424,-5177,19
839,-7405,-7296,1,-7552,-5252,-109
840,-7488,-7424,0,-7424,-5320,-64
841,-7488,-7552,0,-7552,-5390,64
842,-7567,-7424,1,-7680,-5462,-143
843,-7567,-7552,0,-7552,-5528,-15
844,-7642,-7680,0,-7680,-5596,38
845,-7642,-7552,1,-7808,-5666,-90
846,-7712,-7680,0,-7680,-5729,-32
847,-7712,-7808,0,-7808,-5794,96
848,-7778,-7680,1,-7936,-5861,-98
849,-7778,-7808,0,-7808,-5922,30
850,-7838,-7680,1,-7936,-5985,-158
851,-7838,-7808,0,-7808,-6042,-30
852,-7894,-7936,0,-7936,-6102,42
853,-7894,-7808,1,-8064,-6164,-86
854,-7946,-7936,0,-7936,-6220,-10
855,-7946,-8064,0,-8064,-6278,118
856,-7992,-7936,1,-8192,-6338,-56
857,-7992,-8064,0,-8064,-6392,72
858,-8034,-7936,1,-8192,-6449,-98
859,-8034,-8064,0,-8064,-6500,30
860,-8070,-7936,1,-8192,-6553,-134
861,-8070,-8064,0,-8064,-6601,-6
862,-8102,-8192,0,-8192,-6651,90
863,-8102,-8064,1,-8320,-6704,-38
864,-8129,-8192,0,-8192,-6751,63
865,-8129,-8064,1,-8320,-6801,-65
866,-8152,-8192,0,-8192,-6845,40
867,-8152,-8064,1,-8320,-6892,-88
868,-8169,-8192,0,-8192,-6933,23
869,-8169,-8064,1,-8320,-6977,-105
870,-8181,-8192,0,-8192,-7015,11
871,-8181,-8064,1,-8320,-7056,-117
872,-8189,-8192,0,-8192,-7092,3
873,-8191,-8064,1,-8320,-7131,-127
874,-8191,-8192,0,-8192,-7165,1
875,-8189,-8064,1,-8320,-7202,-125
876,-8189,-8192,0,-8192,-7233,3
877,-8181,-8064,1,-8320,-7267,-117
878,-8181,-8192,0,-8192,-7296,11
879,-8169,-8064,1,-8320,-7328,-105
880,-8169,-8192,0,-8192,-7355,23
881,-8152,-8064,1,-8320,-7386,-88
882,-8152,-8192,0,-8192,-7412,40
883,-8129,-8064,1,-8320,-7441,-65
884,-8129,-8192,0,-8192,-7465,63
885,-8102,-8064,1,-8320,-7492,-38
886,-8102,-8192,0,-8192,-7514,90
887,-8070,-8064,1,-8320,-7540,-6
888,-8070,-8192,0,-8192,-7561,122
889,-8034,-8064,1,-8320,-7585,30
890,-8034,-7936,1,-8192,-7604,-98
891,-7992,-8064,0,-8064,-7619,72
892,-7992,-7936,1,-8192,-7637,-56
893,-7946,-8064,0,-8064,-7651,118
894,-7946,-7936,1,-8192,-7668,-10
895,-7894,-8064,0,-8064,-7681,170
896,-7894,-7936,1,-8192,-7697,42
897,-7838,-7808,1,-8064,-7709,-30
898,-7838,-7936,0,-7936,-7717,98
899,-7778,-7808,1,-8064,-7728,30
900,-7778,-7680,1,-7936,-7735,-98
901,-7712,-7808,0,-7808,-7738,96
902,-7712,-7680,1,-7936,-7745,-32
903,-7642,-7808,0,-7808,-7747,166
904,-7642,-7680,1,-7936,-7753,38
905,-7567,-7552,1,-7808,-7755,-15
906,-7567,-7680,0,-7680,-7753,113
907,-7488,-7552,1,-7808,-7755,64
908,-7488,-7424,1,-7680,-7753,-64
909,-7405,-7552,0,-7552,-7747,147
910,-7405,-7424,1,-7680,-7745,19
911,-7316,-7296,1,-7552,-7739,-20
912,-7316,-7424,0,-7424,-7730,108
913,-7224,-7296,1,-7552,-7725,72
914,-7224,-7168,1,-7424,-7716,-56
915,-7127,-7296,0,-7296,-7703,169
916,-7026,-7168,1,-7424,-7695,142
917,-7026,-7040,1,-7296,-7683,14
918,-6920,-6912,1,-7168,-7667,-8
919,-6920,-7040,0,-7040,-7648,120
920,-6811,-6912,1,-7168,-7633,101
921,-6811,-6784,1,-7040,-7615,-27
922,-6697,-6912,0,-6912,-7594,215
923,-6697,-6784,1,-7040,-7577,87
924,-6579,-6656,1,-6912,-7557,77
925,-6579,-6528,1,-6784,-7533,-51
926,-6457,-6656,0,-6656,-7506,199
927,-6457,-6528,1,-6784,-7484,71
928,-6332,-6400,1,-6656,-7459,68
929,-6332,-6272,1,-6528,-7430,-60
930,-6202,-6400,0,-6400,-7398,198
931,-6202,-6272,1,-6528,-7371,70
932,-6069,-6144,1,-6400,-7341,75
933,-6069,-6016,1,-6272,-7308,-53
934,-5932,-6144,0,-6144,-7272,212
935,-5932,-6016,1,-6272,-7241,84
936,-5792,-5888,1,-6144,-7207,96
937,-5792,-5760,1,-6016,-7170,-32
938,-5648,-5888,0,-5888,-7130,240
939,-5648,-5760,1,-6016,-7096,112
940,-5501,-5632,1,-5888,-7059,131
941,-5501,-5504,1,-5760,-7019,3
942,-5350,-5376,1,-5632,-6976,26
943,-5350,-5248,1,-5504,-6930,-102
944,-5196,-5376,0,-5376,-6882,180
945,-5196,-5248,1,-5504,-6839,52
946,-5039,-5120,1,-5376,-6794,81
947,-5039,-4992,1,-5248,-6746,-47
948,-4879,-5120,0,-5120,-6696,241
949,-4879,-4992,1,-5248,-6651,113
950,-4716,-4864,1,-5120,-6604,148
951,-4716,-4736,1,-4992,-6554,20
952,-4551,-4608,1,-4864,-6502,57
953,-4551,-4480,1,-4736,-6447,-71
954,-4382,-4608,0,-4608,-6390,226
955,-4382,-4480,1,-4736,-6339,98
956,-4211,-4352,1,-4608,-6285,141
957,-4037,-4224,1,-4480,-6229,187
958,-4037,-4096,1,-4352,-6171,59
959,-3861,-3968,1,-4224,-6111,107
960,-3861,-3840,1,-4096,-6049,-21
961,-3683,-3968,0,-3968,-5984,285
962,-3683,-3840,1,-4096,-5925,157
963,-3502,-3712,1,-3968,-5864,210
964,-3502,-3584,1,-3840,-5801,82
965,-3319,-3456,1,-3712,-5736,137
966,-3319,-3328,1,-3584,-5669,9
967,-3135,-3200,1,-3456,-5600,65
968,-3135,-3072,1,-3328,-5529,-63
969,-2948,-3200,0,-3200,-5457,252
970,-2948,-3072,1,-3328,-5391,124
971,-2759,-2944,1,-3200,-5323,185
972,-2759,-2816,1,-3072,-5253,57
973,-2569,-2688,1,-2944,-5181,119
974,-2569,-2560,1,-2816,-5108,-9
975,-2378,-2688,0,-2688,-5033,310
976,-2378,-2560,1,-2816,-4964,182
977,-2185,-2432,1,-2688,-4893,247
978,-2185,-2304,1,-2560,-4821,119
979,-1990,-2176,1,-2432,-4747,186
980,-1990,-2048,1,-2304,-4671,58
981,-1795,-1920,1,-2176,-4594,125
982,-1795,-1792,1,-2048,-4515,-3
983,-1598,-1920,0,-1920,-4434,322
984,-1598,-1792,1,-2048,-4360,194
985,-1400,-1664,1,-1920,-4284,264
986,-1400,-1536,1,-1792,-4207,136
987,-1202,-1408,1,-1664,-4128,206
988,-1202,-1280,1,-1536,-4047,78
989,-1003,-1152,1,-1408,-3965,149
990,-1003,-1024,1,-1280,-3882,21
991,-803,-896,1,-1152,-3797,93
992,-803,-768,1,-1024,-3711,-35
993,-603,-896,0,-896,-3624,293
994,-603,-768,1,-1024,-3543,165
995,-402,-640,1,-896,-3461,238
996,-402,-512,1,-768,-3377,110
997,-201,-384,1,-640,-3292,183
998,0,-256,1,-512,-3206,256
999,0,-128,1,-384,-3118,128
1000,201,0,1,-256,-3029,201
1001,201,128,1,-128,-2939,73
1002,402,256,1,0,-2848,146
1003,402,384,1,128,-2755,18
1004,603,512,1,256,-2661,91
1005,603,640,1,384,-2566,-37
1006,803,512,0,512,-2470,291
1007,803,640,1,384,-2381,163
1008,1003,768,1,512,-2291,235
1009,1003,896,1,640,-2200,107
1010,1202,1024,1,768,-2108,178
1011,1202,1152,1,896,-2015,50
1012,1400,1280,1,1024,-1921,120
1013,1400,1408,1,1152,-1825,-8
1014,1598,1280,0,1280,-1728,318
1015,1598,1408,1,1152,-1638,190
1016,1795,1536,1,1280,-1547,259
1017,1795,1664,1,1408,-1455,131
1018,1990,1792,1,1536,-1362,198
1019,1990,1920,1,1664,-1268,70
1020,2185,2048,1,1792,-1173,137
1021,2185,2176,1,1920,-1077,9
1022,2378,2304,1,2048,-980,74
1023,2378,2432,1,2176,-882,-54
1024,2569,2304,0,2304,-783,265
1025,2569,2432,1,2176,-691,137
1026,2759,2560,1,2304,-598,199
1027,2759,2688,1,2432,-504,71
1028,2948,2816,1,2560,-409,132
1029,2948,2944,1,2688,-313,4
1030,3135,3072,1,2816,-216,63
1031,3135,3200,1,2944,-118,-65
1032,3319,3072,0,3072,-19,247
1033,3319,3200,1,2944,73,119
1034,3502,3328,1,3072,166,174
1035,3502,3456,1,3200,260,46
1036,3683,3584,1,3328,355,99
1037,3683,3712,1,3456,451,-29
1038,3861,3584,0,3584,548,277
1039,3861,3712,1,3456,638,149
1040,4037,3840,1,3584,730,197
1041,4211,3968,1,3712,823,243
1042,4211,4096,1,3840,917,115
1043,4382,4224,1,3968,1012,158
1044,4382,4352,1,4096,1108,30
1045,4551,4480,1,4224,1205,71
1046,4551,4608,1,4352,1303,-57
1047,4716,4480,0,4480,1402,236
1048,4716,4608,1,4352,1494,108
1049,4879,4736,1,4480,1587,143
1050,4879,4864,1,4608,1681,15
1051,5039,4992,1,4736,1776,47
1052,5039,5120,1,4864,1872,-81
1053,5196,4992,0,4992,1969,204
1054,5196,5120,1,4864,2059,76
1055,5350,5248,1,4992,2150,102
1056,5350,5376,1,5120,2242,-26
1057,5501,5248,0,5248,2335,253
1058,5501,5376,1,5120,2422,125
1059,5648,5504,1,5248,2510,144
1060,5648,5632,1,5376,2599,16
1061,5792,5760,1,5504,2689,32
1062,5792,5888,1,5632,2780,-96
1063,5932,5760,0,5760,2873,172
1064,5932,5888,1,5632,2959,44
1065,6069,6016,1,5760,3046,53
1066,6069,6144,1,5888,3134,-75
1067,6202,6016,0,6016,3224,186
1068,6202,6144,1,5888,3307,58
1069,6332,6272,1,6016,3391,60
1070,6332,6400,1,6144,3477,-68
1071,6457,6272,0,6272,3564,185
1072,6457,6400,1,6144,3644,57
1073,6579,6528,1,6272,3726,51
1074,6579,6656,1,6400,3809,-77
1075,6697,6528,0,6528,3893,169
1076,6697,6656,1,6400,3971,41
1077,6811,6784,1,6528,4050,27
1078,6811,6912,1,6656,4131,-101
1079,6920,6784,0,6784,4213,136
1080,6920,6912,1,6656,4289,8
1081,7026,7040,1,6784,4366,-14
1082,7127,6912,0,6912,4445,215
1083,7127,7040,1,6784,4518,87
1084,7224,7168,1,6912,4592,56
1085,7224,7296,1,7040,4668,-72
1086,7316,7168,0,7168,4746,148
1087,7316,7296,1,7040,4817,20
1088,7405,7424,1,7168,4890,-19
1089,7405,7296,0,7296,4965,109
1090,7488,7424,1,7168,5033,64
1091,7488,7552,1,7296,5103,-64
1092,7567,7424,0,7424,5175,143
1093,7567,7552,1,7296,5241,15
1094,7642,7680,1,7424,5309,-38
1095,7642,7552,0,7552,5379,90
1096,7712,7680,1,7424,5442,32
1097,7712,7808,1,7552,5507,-96
1098,7778,7680,0,7680,5574,98
1099,7778,7808,1,7552,5635,-30
1100,7838,7680,0,7680,5698,158
1101,7838,7808,1,7552,5755,30
1102,7894,7936,1,7680,5815,-42
1103,7894,7808,0,7808,5877,86
1104,7946,7936,1,7680,5933,10
1105,7946,8064,1,7808,5991,-118
1106,7992,7936,0,7936,6051,56
1107,7992,8064,1,7808,6105,-72
1108,8034,7936,0,7936,6162,98
1109,8034,8064,1,7808,6213,-30
1110,8070,7936,0,7936,6266,134
1111,8070,8064,1,7808,6314,6
1112,8102,8192,1,7936,6364,-90
1113,8102,8064,0,8064,6417,38
1114,8129,8192,1,7936,6464,-63
1115,8129,8064,0,8064,6514,65
1116,8152,8192,1,7936,6558,-40
1117,8152,8064,0,8064,6605,88
1118,8169,8192,1,7936,6646,-23
1119,8169,8064,0,8064,6690,105
1120,8181,8192,1,7936,6728,-11
1121,8181,8064,0,8064,6769,117
1122,8189,8192,1,7936,6805,-3
1123,8191,8064,0,8064,6844,127
1124,8191,8192,1,7936,6878,-1
1125,8189,8064,0,8064,6915,125
1126,8189,8192,1,7936,6946,-3
1127,8181,8064,0,8064,6980,117
1128,8181,8192,1,7936,7009,-11
1129,8169,8064,0,8064,7041,105
1130,8169,8192,1,7936,7068,-23
1131,8152,8064,0,8064,7099,88
1132,8152,8192,1,7936,7125,-40
1133,8129,8064,0,8064,7154,65
1134,8129,8192,1,7936,7178,-63
1135,8102,8064,0,8064,7205,38
1136,8102,8192,1,7936,7227,-90
1137,8070,8064,0,8064,7253,6
1138,8070,8192,1,7936,7274,-122
1139,8034,8064,0,8064,7298,-30
1140,8034,7936,0,7936,7317,98
1141,7992,8064,1,7808,7332,-72
1142,7992,7936,0,7936,7350,56
1143,7946,8064,1,7808,7364,-118
1144,7946,7936,0,7936,7381,10
1145,7894,8064,1,7808,7394,-170
1146,7894,7936,0,7936,7410,-42
1147,7838,7808,0,7808,7422,30
1148,7838,7936,1,7680,7430,-98
1149,7778,7808,0,7808,7441,-30
1150,7778,7680,0,7680,7448,98
1151,7712,7808,1,7552,7451,-96
1152,7712,7680,0,7680,7458,32
1153,7642,7808,1,7552,7460,-166
1154,7642,7680,0,7680,7466,-38
1155,7567,7552,0,7552,7468,15
1156,7567,7680,1,7424,7466,-113
1157,7488,7552,0,7552,7468,-64
1158,7488,7424,0,7424,7466,64
1159,7405,7552,1,7296,7460,-147
1160,7405,7424,0,7424,7458,-19
1161,7316,7296,0,7296,7452,20
1162,7316,7424,1,7168,7443,-108
1163,7224,7296,0,7296,7438,-72
1164,7224,7168,0,7168,7429,56
1165,7127,7296,1,7040,7416,-169
1166,7026,7168,0,7168,7408,-142
1167,7026,7040,0,7040,7396,-14
1168,6920,6912,0,6912,7380,8
1169,6920,7040,1,6784,7361,-120
1170,6811,6912,0,6912,7346,-101
1171,6811,6784,0,6784,7328,27
1172,6697,6912,1,6656,7307,-215
1173,6697,6784,0,6784,7290,-87
1174,6579,6656,0,6656,7270,-77
1175,6579,6528,0,6528,7246,51
1176,6457,6656,1,6400,7219,-199
1177,6457,6528,0,6528,7197,-71
1178,6332,6400,0,6400,7172,-68
1179,6332,6272,0,6272,7143,60
1180,6202,6400,1,6144,7111,-198
1181,6202,6272,0,6272,7084,-70
1182,6069,6144,0,6144,7054,-75
1183,6069,6016,0,6016,7021,53
1184,5932,6144,1,5888,6985,-212
1185,5932,6016,0,6016,6954,-84
1186,5792,5888,0,5888,6920,-96
1187,5792,5760,0,5760,6883,32
1188,5648,5888,1,5632,6843,-240
1189,5648,5760,0,5760,6809,-112
1190,5501,5632,0,5632,6772,-131
1191,5501,5504,0,5504,6732,-3
1192,5350,5376,0,5376,6689,-26
1193,5350,5248,0,5248,6643,102
1194,5196,5376,1,5120,6595,-180
1195,5196,5248,0,5248,6552,-52
1196,5039,5120,0,5120,6507,-81
1197,5039,4992,0,4992,6459,47
1198,4879,5120,1,4864,6409,-241
1199,4879,4992,0,4992,6364,-113
1200,4716,4864,0,4864,6317,-148
1201,4716,4736,0,4736,6267,-20
1202,4551,4608,0,4608,6215,-57
1203,4551,4480,0,4480,6160,71
1204,4382,4608,1,4352,6103,-226
1205,4382,4480,0,4480,6052,-98
1206,4211,4352,0,4352,5998,-141
1207,4037,4224,0,4224,5942,-187
1208,4037,4096,0,4096,5884,-59
1209,3861,3968,0,3968,5824,-107
1210,3861,3840,0,3840,5762,21
1211,3683,3968,1,3712,5697,-285
1212,3683,3840,0,3840,5638,-157
1213,3502,3712,0,3712,5577,-210
1214,3502,3584,0,3584,5514,-82
1215,3319,3456,0,3456,5449,-137
1216,3319,3328,0,3328,5382,-9
1217,3135,3200,0,3200,5313,-65
1218,3135,3072,0,3072,5242,63
1219,2948,3200,1,2944,5170,-252
1220,2948,3072,0,3072,5104,-124
1221,2759,2944,0,2944,5036,-185
1222,2759,2816,0,2816,4966,-57
1223,2569,2688,0,2688,4894,-119
1224,2569,2560,0,2560,4821,9
1225,2378,2688,1,2432,4746,-310
1226,2378,2560,0,2560,4677,-182
1227,2185,2432,0,2432,4606,-247
1228,2185,2304,0,2304,4534,-119
1229,1990,2176,0,2176,4460,-186
1230,1990,2048,0,2048,4384,-58
1231,1795,1920,0,1920,4307,-125
1232,1795,1792,0,1792,4228,3
1233,1598,1920,1,1664,4147,-322
1234,1598,1792,0,1792,4073,-194
1235,1400,1664,0,1664,3997,-264
1236,1400,1536,0,1536,3920,-136
1237,1202,1408,0,1408,3841,-206
1238,1202,1280,0,1280,3760,-78
1239,1003,1152,0,1152,3678,-149
1240,1003,1024,0,1024,3595,-21
1241,803,896,0,896,3510,-93
1242,803,768,0,768,3424,35
1243,603,896,1,640,3337,-293
1244,603,768,0,768,3256,-165
1245,402,640,0,640,3174,-238
1246,402,512,0,512,3090,-110
1247,201,384,0,384,3005,-183
1248,0,256,0,256,2919,-256
1249,0,128,0,128,2831,-128
1250,-201,0,0,0,2742,-201
1251,-201,-128,0,-128,2652,-73
1252,-402,-256,0,-256,2561,-146
1253,-402,-384,0,-384,2468,-18
1254,-603,-512,0,-512,2374,-91
1255,-603,-640,0,-640,2279,37
1256,-803,-512,1,-768,2183,-291
1257,-803,-640,0,-640,2094,-163
1258,-1003,-768,0,-768,2004,-235
1259,-1003,-896,0,-896,1913,-107
1260,-1202,-1024,0,-1024,1821,-178
1261,-1202,-1152,0,-1152,1728,-50
1262,-1400,-1280,0,-1280,1634,-120
1263,-1400,-1408,0,-1408,1538,8
1264,-1598,-1280,1,-1536,1441,-318
1265,-1598,-1408,0,-1408,1351,-190
1266,-1795,-1536,0,-1536,1260,-259
1267,-1795,-1664,0,-1664,1168,-131
1268,-1990,-1792,0,-1792,1075,-198
1269,-1990,-1920,0,-1920,981,-70
1270,-2185,-2048,0,-2048,886,-137
1271,-2185,-2176,0,-2176,790,-9
1272,-2378,-2304,0,-2304,693,-74
1273,-2378,-2432,0,-2432,595,54
1274,-2569,-2304,1,-2560,496,-265
1275,-2569,-2432,0,-2432,404,-137
1276,-2759,-2560,0,-2560,311,-199
1277,-2759,-2688,0,-2688,217,-71
1278,-2948,-2816,0,-2816,122,-132
1279,-2948,-2944,0,-2944,26,-4
1280,-3135,-3072,0,-3072,-71,-63
1281,-3135,-3200,0,-3200,-169,65
1282,-3319,-3072,1,-3328,-268,-247
1283,-3319,-3200,0,-3200,-360,-119
1284,-3502,-3328,0,-3328,-453,-174
1285,-3502,-3456,0,-3456,-547,-46
1286,-3683,-3584,0,-3584,-642,-99
1287,-3683,-3712,0,-3712,-738,29
1288,-3861,-3584,1,-3840,-835,-277
1289,-3861,-3712,0,-3712,-925,-149
1290,-4037,-3840,0,-3840,-1017,-197
1291,-4211,-3968,0,-3968,-1110,-243
1292,-4211,-4096,0,-4096,-1204,-115
1293,-4382,-4224,0,-4224,-1299,-158
1294,-4382,-4352,0,-4352,-1395,-30
1295,-4551,-4480,0,-4480,-1492,-71
1296,-4551,-4608,0,-4608,-1590,57
1297,-4716,-4480,1,-4736,-1689,-236
1298,-4716,-4608,0,-4608,-1781,-108
1299,-4879,-4736,0,-4736,-1874,-143
1300,-4879,-4864,0,-4864,-1968,-15
1301,-5039,-4992,0,-4992,-2063,-47
1302,-5039,-5120,0,-5120,-2159,81
1303,-5196,-4992,1,-5248,-2256,-204
1304,-5196,-5120,0,-5120,-2346,-76
1305,-5350,-5248,0,-5248,-2437,-102
1306,-5350,-5376,0,-5376,-2529,26
1307,-5501,-5248,1,-5504,-2622,-253
1308,-5501,-5376,0,-5376,-2709,-125
1309,-5648,-5504,0,-5504,-2797,-144
1310,-5648,-5632,0,-5632,-2886,-16
1311,-5792,-5760,0,-5760,-2976,-32
1312,-5792,-5888,0,-5888,-3067,96
1313,-5932,-5760,1,-6016,-3160,-172
1314,-5932,-5888,0,-5888,-3246,-44
1315,-6069,-6016,0,-6016,-3333,-53
1316,-6069,-6144,0,-6144,-3421,75
1317,-6202,-6016,1,-6272,-3511,-186
1318,-6202,-6144,0,-6144,-3594,-58
1319,-6332,-6272,0,-6272,-3678,-60
1320,-6332,-6400,0,-6400,-3764,68
1321,-6457,-6272,1,-6528,-3851,-185
1322,-6457,-6400,0,-6400,-3931,-57
1323,-6579,-6528,0,-6528,-4013,-51
1324,-6579,-6656,0,-6656,-4096,77
1325,-6697,-6528,1,-6784,-4180,-169
1326,-6697,-6656,0,-6656,-4258,-41
1327,-6811,-6784,0,-6784,-4337,-27
1328,-6811,-6912,0,-6912,-4418,101
1329,-6920,-6784,1,-7040,-4500,-136
1330,-6920,-6912,0,-6912,-4576,-8
1331,-7026,-7040,0,-7040,-4653,14
1332,-7127,-6912,1,-7168,-4732,-215
1333,-7127,-7040,0,-7040,-4805,-87
1334,-7224,-7168,0,-7168,-4879,-56
1335,-7224,-7296,0,-7296,-4955,72
1336,-7316,-7168,1,-7424,-5033,-148
1337,-7316,-7296,0,-7296,-5104,-20
1338,-7405,-7424,0,-7424,-5177,19
1339,-7405,-7296,1,-7552,-5252,-109
1340,-7488,-7424,0,-7424,-5320,-64
1341,-7488,-7552,0,-7552,-5390,64
1342,-7567,-7424,1,-7680,-5462,-143
1343,-7567,-7552,0,-7552,-5528,-15
1344,-7642,-7680,0,-7680,-5596,38
1345,-7642,-7552,1,-7808,-5666,-90
1346,-7712,-7680,0,-7680,-5729,-32
1347,-7712,-7808,0,-7808,-5794,96
1348,-7778,-7680,1,-7936,-5861,-98
1349,-7778,-7808,0,-7808,-5922,30
1350,-7838,-7680,1,-7936,-5985,-158
1351,-7838,-7808,0,-7808,-6042,-30
1352,-7894,-7936,0,-7936,-6102,42
1353,-7894,-7808,1,-8064,-6164,-86
1354,-7946,-7936,0,-7936,-6220,-10
1355,-7946,-8064,0,-8064,-6278,118
1356,-7992,-7936,1,-8192,-6338,-56
1357,-7992,-8064,0,-8064,-6392,72
1358,-8034,-7936,1,-8192,-6449,-98
1359,-8034,-8064,0,-8064,-6500,30
1360,-8070,-7936,1,-8192,-6553,-134
1361,-8070,-8064,0,-8064,-6601,-6
1362,-8102,-8192,0,-8192,-6651,90
1363,-8102,-8064,1,-8320,-6704,-38
1364,-8129,-8192,0,-8192,-6751,63
1365,-8129,-8064,1,-8320,-6801,-65
1366,-8152,-8192,0,-8192,-6845,40
1367,-8152,-8064,1,-8320,-6892,-88
1368,-8169,-8192,0,-8192,-6933,23
1369,-8169,-8064,1,-8320,-6977,-105
